id full_name image appearance
124 Machvise https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079319-1529852537-Scree.jpg 9
125 Cavendish https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078690-6843654058-unkno.png 9
126 Hajrudin https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7101768-3772659062-latest 9
127 "Riku Doldo III" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080186-9344060123-Scree.jpg 9
128 Conis https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3041695-3479568558-14693.jpg 9
129 "Gan Fall" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3042507-4731899519-14694.jpg 9
136 Sabo https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5307627-2542054701-latest 9
139 "Vinsmoke Yonji" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079956-9236897109-Scree.jpg 9
141 Zeff https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3051842-7739595623-Zeff_.png 8
142 Arlong https://comicvine.gamespot.com/a/uploads/square_small/1/19859/543452-exemplo.gif 8
143 "Mr. 4" https://comicvine.gamespot.com/a/uploads/square_small/0/3347/508721-bw_mr4.jpg 8
144 "Silvers Rayleigh" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5858927-one.piece.full.1358183.jpg 8
145 "Emporio Ivankov" https://comicvine.gamespot.com/a/uploads/square_small/5/54851/1550987-20100226203434_emporio_ivankov_thumbnail.png 8
147 Viola https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079284-0747016757-unkno.png 8
149 Rebecca https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079969-5167194208-unkno.png 8
152 "Elizabello II" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079350-3166662953-unkno.png 8
153 Fujitora https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078714-8952344231-unkno.png 8
154 Bartolomeo https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079176-1827043444-Scree.jpg 8
155 Ideo https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079242-9165107712-latest 8
157 Izo https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080091-0025228125-unkno.png 8
158 Koala https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079259-8088056978-Scree.jpg 8
160 Perona https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080686-9865490237-unkno.jpg 8
163 Leo https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080616-3566753507-latest 8
165 Sugar https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079268-6343524832-unkno.png 8
166 "Charlotte Pudding" https://comicvine.gamespot.com/a/uploads/square_small/4/41116/5172484-pudding.jpg 8
167 "Vinsmoke Reiju" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079954-4516814764-Scree.jpg 8
168 "Charlotte Brûlée" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079419-0647945576-Scree.jpg 8
169 "Charlotte Mont-d'Or" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079418-8783356347-Scree.jpg 8
170 Otama https://comicvine.gamespot.com/a/uploads/square_small/4/41116/6515974-otama.jpg 8
171 Daifugo https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7065471-7146599551-unkno.png 8
173 Ulti https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7518684-6528986601-6a5db.png 8
174 Kumadori https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044574-5171886395-Kumad.png 7
175 Wapol https://comicvine.gamespot.com/a/uploads/square_small/7/72480/5218835-wapol.jpg 7
176 "Monkey D. Dragon" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5856644-one.piece.full.751339.jpg 7
177 Magellan https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079370-6069162749-x7.pn.jpg 7
178 Shiryuu https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079975-7972711332-unkno.png 7
179 "Jewelry Bonney" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078393-0751469520-latest 7
181 "Señor Pink" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079266-2954976063-unkno.png 7
186 Dalton https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3041760-8562326592-14371.jpg 7
187 "Doctor Kureha" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3041813-2018767137-57453.png 7
188 Duval https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3041901-8367078684-Anime.png 7
189 "Grandma Nyon" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3042540-2725606016-23212.jpg 7
191 Laboon https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044592-1416854011-Laboo.png 7
192 Makino https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044620-8305327485-Makin.png 7
195 Sentomaru https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3049043-4526835008-Sento.png 7
199 Trebol https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079291-5453561456-unkno.png 7
200 Giolla https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079306-7186896346-latest 7
201 Pica https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079294-0686248486-unkno.png 7
203 "Vinsmoke Judge" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079955-1184798297-Scree.jpg 7
204 "Vinsmoke Niji" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079952-1988960778-latest 7
205 "Charlotte Smoothie" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079414-8803789431-unkno.png 7
206 Sasaki https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7518637-8088620994-latest.png 7
207 "Black Maria" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7518638-3991502429-latest.jpg 7
208 "Who's Who" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7518639-1884324626-latest.jpg 7
209 "Ben Beckman" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079086-7985173465-unkno.png 6
210 "Lucky Roux" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7083675-9752827400-latest 6
213 Monet https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/6768111-2766760704-latest 6
215 Dellinger https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079257-3409662865-Scree.jpg 6
