full_name,image
Kamui Woods,https://static.wikia.nocookie.net/bokunoheroacademia/images/0/04/Kamui_Woods_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200116233426
Kurogiri,https://static.wikia.nocookie.net/bokunoheroacademia/images/d/df/Kurogiri_Anime_Portrait.png/revision/latest/scale-to-width-down/136?cb=20200405170057
Nine,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/21/Nine_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200512120117
Tenya Ida,https://static.wikia.nocookie.net/bokunoheroacademia/images/c/ca/Tenya_Ida_Portrait.png/revision/latest/scale-to-width-down/135?cb=20160619044125
Rogone,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/2f/Rogone.png/revision/latest/scale-to-width-down/240?cb=20220221200547
Fat Gum,https://static.wikia.nocookie.net/bokunoheroacademia/images/6/65/Fat_Gum_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200321204354
Mezo Shoji,https://static.wikia.nocookie.net/bokunoheroacademia/images/8/8b/Mezo_Shoji_Portrait.png/revision/latest/scale-to-width-down/135?cb=20160619045335
Shishido,https://static.wikia.nocookie.net/bokunoheroacademia/images/3/30/Shishido_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20220805061033
Bibimi Kenranzaki,https://static.wikia.nocookie.net/bokunoheroacademia/images/6/6f/Bibimi_Kenranzaki_%28anime%29.png/revision/latest/scale-to-width-down/240?cb=20200301070617
Ibara Shiozaki,https://static.wikia.nocookie.net/bokunoheroacademia/images/a/ac/Ibara_Shiozaki_Portrait.png/revision/latest/scale-to-width-down/135?cb=20181125070135
Kuin Hachisuka,https://static.wikia.nocookie.net/bokunoheroacademia/images/0/05/Kuin_Hachisuka_Colored_Manga_Portrait.png/revision/latest/scale-to-width-down/135?cb=20220708203829
Dabi,https://static.wikia.nocookie.net/bokunoheroacademia/images/3/3e/Dabi_Colored_Manga_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210404193412
Gigantomachia,https://static.wikia.nocookie.net/bokunoheroacademia/images/e/e1/Gigantomachia_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210821123458
Johnny,https://static.wikia.nocookie.net/bokunoheroacademia/images/d/da/Johnny.png/revision/latest/scale-to-width-down/136?cb=20200312191119
Sansa Tamakawa,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/b5/Sansa_Tamakawa_Portrait_02.png/revision/latest/scale-to-width-down/153?cb=20211006094937
Kesagiri Man,https://static.wikia.nocookie.net/bokunoheroacademia/images/4/48/Kesagiri_Man_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200329135536
Fuyumi Todoroki,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/54/Fuyumi_Todoroki_Anime.PNG/revision/latest/scale-to-width-down/135?cb=20180625152831
Mashirao Ojiro,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/16/Mashirao_Ojiro_Portrait.png/revision/latest/scale-to-width-down/135?cb=20160619044553
Dabi,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/bd/Dabi_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200322041943
Burnin,https://static.wikia.nocookie.net/bokunoheroacademia/images/3/35/Burnin_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210806005219
Tsuyu Asui,https://static.wikia.nocookie.net/bokunoheroacademia/images/7/7c/Tsuyu_Asui_Portrait.png/revision/latest/scale-to-width-down/135?cb=20160619043915
All For One,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/1f/All_For_One_Colored_Manga_Portrait.png/revision/latest/scale-to-width-down/135?cb=20220708203750
Mt. Lady,https://static.wikia.nocookie.net/bokunoheroacademia/images/d/db/Mt._Lady_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200321204446
Deidoro Sakaki,https://static.wikia.nocookie.net/bokunoheroacademia/images/d/d1/Deidoro_Sakaki_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200112144551
Crust,https://static.wikia.nocookie.net/bokunoheroacademia/images/f/f7/Crust_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200328155442
Kyudai Garaki,https://static.wikia.nocookie.net/bokunoheroacademia/images/4/4b/Kyudai_Garaki_Vigilantes_Portrait.png/revision/latest/scale-to-width-down/135?cb=20211010162129
Sirius,https://static.wikia.nocookie.net/bokunoheroacademia/images/7/7b/Sirius_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200321204325
Mirko,https://static.wikia.nocookie.net/bokunoheroacademia/images/8/8f/Mirko_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210404205654
Gigantomachia,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/14/Gigantomachia_portrait.png/revision/latest/scale-to-width-down/135?cb=20190401155033
