full_name,image
Yoshihiro Kira,https://static.wikia.nocookie.net/jjba/images/4/42/YoshihiroAvAnim.png/revision/latest?cb=20181223145059
Tama,https://static.wikia.nocookie.net/jjba/images/1/1c/TamaAvAnim.png/revision/latest?cb=20181223144952
Keicho Nijimura,https://static.wikia.nocookie.net/jjba/images/a/a0/KeichoAvAnim.png/revision/latest?cb=20181223145058
Akira Otoishi,https://static.wikia.nocookie.net/jjba/images/1/10/AkiraAvAnim.png/revision/latest?cb=20181223143732
Anjuro Katagiri,https://static.wikia.nocookie.net/jjba/images/f/fc/AngeloAvAnim.png/revision/latest?cb=20181223143732
Ken Oyanagi,https://static.wikia.nocookie.net/jjba/images/1/13/OyanagiAvAnim.png/revision/latest?cb=20181223144816
Toyohiro Kanedaichi,https://static.wikia.nocookie.net/jjba/images/a/ad/ToyohiroAvAnim.png/revision/latest?cb=20181223144953
Terunosuke Miyamoto,https://static.wikia.nocookie.net/jjba/images/1/10/TerunosukeAvAnim.png/revision/latest?cb=20181223144952
Masazo Kinoto,https://static.wikia.nocookie.net/jjba/images/3/30/MazasoAvAnim.png/revision/latest?cb=20181223144816
Giorno Giovanna,https://static.wikia.nocookie.net/jjba/images/d/d7/GiornoAvAnim.png/revision/latest?cb=20181220204007
Bruno Bucciarati,https://static.wikia.nocookie.net/jjba/images/d/d4/BrunoAvAnim.png/revision/latest?cb=20190630014442
Leone Abbacchio,https://static.wikia.nocookie.net/jjba/images/b/b8/AbbacchioAvAnim.png/revision/latest?cb=20190628224333
Guido Mista,https://static.wikia.nocookie.net/jjba/images/c/ce/MistaAvAnim.png/revision/latest?cb=20190405231049
Narancia Ghirga,https://static.wikia.nocookie.net/jjba/images/0/05/NaranciaAvAnim2.png/revision/latest?cb=20181220204008
Pannacotta Fugo,https://static.wikia.nocookie.net/jjba/images/4/4f/FugoAvAnim2.png/revision/latest?cb=20190405231211
Trish Una,https://static.wikia.nocookie.net/jjba/images/9/9d/TrishAvAnim2.png/revision/latest?cb=20190405234536
Jean Pierre Polnareff,https://static.wikia.nocookie.net/jjba/images/1/17/PolnareffAvAnim5.png/revision/latest?cb=20190531164527
Coco Jumbo,https://static.wikia.nocookie.net/jjba/images/1/19/CocoJumboAvAnim.png/revision/latest?cb=20190111174908
Pericolo,https://static.wikia.nocookie.net/jjba/images/5/50/PericoloAvAnim.png/revision/latest?cb=20181220233304
Diavolo,https://static.wikia.nocookie.net/jjba/images/1/1a/DiavoloAvAnim.png/revision/latest?cb=20190710001018
Vinegar Doppio,https://static.wikia.nocookie.net/jjba/images/4/4e/DoppioAvAnim.png/revision/latest?cb=20190511201130
Squalo,https://static.wikia.nocookie.net/jjba/images/1/17/SqualoAvAnim.png/revision/latest?cb=20190315174728
Tiziano,https://static.wikia.nocookie.net/jjba/images/b/ba/TizianoAvAnim.png/revision/latest?cb=20190315174807
Carne,https://static.wikia.nocookie.net/jjba/images/4/48/CarneAvAnim.png/revision/latest?cb=20190329204913
Cioccolata,https://static.wikia.nocookie.net/jjba/images/e/e3/CioccolataAvAnim.png/revision/latest?cb=20190523213552
Secco,https://static.wikia.nocookie.net/jjba/images/0/08/SeccoAvAnim.png/revision/latest?cb=20190708001241
Polpo,https://static.wikia.nocookie.net/jjba/images/5/59/PolpoAvAnim.png/revision/latest?cb=20190201174041
Mario Zucchero,https://static.wikia.nocookie.net/jjba/images/d/d8/ZuccheroAvAnim.png/revision/latest?cb=20181220233304
Sale,https://static.wikia.nocookie.net/jjba/images/b/b0/SaleAvAnim2.png/revision/latest?cb=20181220233304
Risotto Nero,https://static.wikia.nocookie.net/jjba/images/7/76/NeroAvAnim.png/revision/latest?cb=20190412181707
Formaggio,https://static.wikia.nocookie.net/jjba/images/0/07/FormaggioAvAnim.png/revision/latest?cb=20190324081121
Illuso,https://static.wikia.nocookie.net/jjba/images/7/73/IllusoAvAnim.png/revision/latest?cb=20181221185740
Prosciutto,https://static.wikia.nocookie.net/jjba/images/b/ba/ProsciuttoAvAnim.png/revision/latest?cb=20190125173830
Pesci,https://static.wikia.nocookie.net/jjba/images/6/63/PesciAvAnim.png/revision/latest?cb=20190111175527
Melone,https://static.wikia.nocookie.net/jjba/images/2/2d/MeloneAvAnim.png/revision/latest?cb=20190125173851
Ghiaccio,https://static.wikia.nocookie.net/jjba/images/7/7d/GhiaccioAvAnim.png/revision/latest?cb=20190208175843
Scolippi,https://static.wikia.nocookie.net/jjba/images/5/58/ScolippiAvAnim.png/revision/latest?cb=20190728122707
Koichi Hirose,https://static.wikia.nocookie.net/jjba/images/7/70/KoichiAvAnim5.png/revision/latest?cb=20181220232917
Jotaro Kujo,https://static.wikia.nocookie.net/jjba/images/0/03/JotaroAvAnime5.png/revision/latest?cb=20181220232917
