full_name,image
Ezel,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5288921-3862299904-latest
Torafusa,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5288899-1204898709-toraf.jpg
Tempesta,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5288797-0168904517-Tempe.png
Jiemma,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4303356-0982059154-Demon.jpg
Lamy,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4382038-7148980735-latest
Weisslogia,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4458691-5858212393-latest
Skiadrum,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4458690-0491744477-latest
Metalicana,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4458692-8138354030-latest
Jenny Realight,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5591254-cover_339.jpg
Orga Nanagear,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692794-orga_profile_image.jpg
Chapati Lola,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692867-chapati_prof.jpg
Cancer,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692865-cancer_secon_prop.jpg
Erigor,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5520877-3923295691-latest
Kageyama,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5520885-3494740637-latest
Sol,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5554859-2496372555-latest
Millianna,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5555030-8236170009-latest
Ivan Dreyar,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5555196-6212512684-latest
Heine Lunasea,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5555436-7253565317-latest
Juliet Sun,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5555448-3037401887-latest
Larcade Dragneel,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5556128-5543216418-latest
Plue,https://comicvine.gamespot.com/a/uploads/square_small/11/111746/2746221-1_1970051405.png
Ur,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7653728-7613637297-unkno.png
Hiroshi,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904548-4875170845-Sylph.jpg
Drake,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904546-8949896691-Drake.jpg
Lala,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904545-9804117757-Lala_.jpg
Sagittarius,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904539-1266667885-Sagit.jpg
Jose Porla,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904686-4733652700-Jose_.jpg
Aquarius,https://comicvine.gamespot.com/a/uploads/square_small/5/55582/3727872-mugshot_of_aquarius.jpg
Zancrow,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5301099-1003176393-latest
Yuri,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904677-6907379371-Yuri..jpg
Michello,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904615-3704440996-Miche.jpg
Brain          ,https://comicvine.gamespot.com/a/uploads/square_small/8/83555/3900637-5467400950-300px.jpg
Yakdoriga,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904558-3036055331-Yakdo.jpg
Hisui E. Fiore,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4580888-hisui_planning_to_start_the_project.jpg
Kagura Mikazuchi,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5591798-17bd13c4-b951-4c35-cc4f-3ac8db419190.png
Mary,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692790-mary.jpg
Libra,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692789-libra_square.jpg
Jerome,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692785-jerome.jpg
Goumon,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692784-goumon.jpg
D-6,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692780-d-6.jpg
